Date,CustomerID,Gender,Region,Product,Quantity,Revenue,Cost
2025-01-01,C001,Female,North,Milk,10,250,180
2025-01-02,C002,Male,South,Bread,5,100,70
2025-01-03,C003,Female,East,Eggs,12,300,220
2025-01-04,C004,Male,West,Rice,20,500,400
2025-01-05,C005,Female,North,Soap,8,160,120
2025-01-06,C006,Male,South,Shampoo,6,240,180
2025-01-07,C007,Female,East,Juice,15,450,300
2025-01-08,C008,Male,West,Snacks,10,200,150
2025-01-09,C009,Female,North,Fruits,18,540,400
2025-01-10,C010,Male,South,Vegetables,25,625,500
2025-01-11,C011,Female,East,Cereal,7,210,160
2025-01-12,C012,Male,West,Oil,9,450,350
2025-01-13,C013,Female,North,Butter,4,160,120
2025-01-14,C014,Male,South,Cheese,11,330,250
2025-01-15,C015,Female,East,Tea,14,280,200
2025-01-16,C016,Male,West,Coffee,13,520,400
2025-01-17,C017,Female,North,Chocolate,16,480,360
2025-01-18,C018,Male,South,Detergent,8,320,250
2025-01-19,C019,Female,East,Toothpaste,6,120,90
2025-01-20,C020,Male,West,Ice Cream,20,600,450
2025-01-21,C021,Female,North,Juice,12,360,270
2025-01-22,C022,Male,South,Fruits,15,450,350
2025-01-23,C023,Female,East,Vegetables,18,540,420
2025-01-24,C024,Male,West,Snacks,22,440,330
2025-01-25,C025,Female,North,Milk,9,225,170
2025-01-26,C026,Male,South,Bread,14,280,210
2025-01-27,C027,Female,East,Eggs,20,500,380
2025-01-28,C028,Male,West,Rice,25,625,500
2025-01-29,C029,Female,North,Soap,10,200,150
2025-01-30,C030,Male,South,Shampoo,12,480,360
